Category	Country	Customer ID	Order Date	Order ID	Payment Method	Product ID	Return Status	Review Rating	Shipping Method	Discount	Price	Profit	Quantity	Returned Quantity	Shipping Cost	
Home	UK	7762	5/11/2023 0:00	ORDER00945	Bank Transfer	373	No	1	Express	29.00%	$404.00 	$244 	5	5	$41.30 	
Sports	UK	5178	4/19/2023 0:00	ORDER00946	PayPal	877	No	1	Express	29.00%	$119.40 	$82 	8	5	$47.80 	
Books	Canada	2093	1/28/2023 0:00	ORDER00947	Credit Card	746	Yes	1	Standard	19.00%	$200.30 	$86 	5	1	$10.10 	
Electronics	USA	4994	1/19/2023 0:00	ORDER00948	Bank Transfer	858	Yes	4	Next Day	19.00%	$795.20 	$819 	5	0	$38.60 	
Electronics	Germany	8095	5/19/2023 0:00	ORDER00949	Bank Transfer	381	Yes	5	Next Day	34.00%	$962.70 	"$1,116 "	6	5	$29.20 	
Electronics	UK	2917	10/8/2023 0:00	ORDER00950	Cash	886	No	1	Express	23.00%	$540.50 	$658 	9	2	$34.60 	
Sports	Germany	7806	2/7/2023 0:00	ORDER00951	Credit Card	613	Yes	2	Standard	36.00%	$672.90 	$205 	3	4	$2.60 	
Clothing	Germany	1375	8/16/2023 0:00	ORDER00952	Cash	91	Yes	4	Express	10.00%	$542.60 	$323 	4	2	$2.70 	
Books	France	6841	4/24/2023 0:00	ORDER00953	Bank Transfer	69	No	1	Next Day	37.00%	$239.90 	$153 	4	2	$17.90 	
Clothing	USA	9235	11/22/2023 0:00	ORDER00954	Cash	618	Yes	5	Standard	33.00%	$851.90 	$711 	7	0	$49.60 	
Clothing	Germany	9098	8/25/2023 0:00	ORDER00955	Bank Transfer	523	No	3	Next Day	36.00%	$870.10 	$331 	2	2	$45.70 	
Clothing	Germany	1328	3/15/2023 0:00	ORDER00956	PayPal	13	No	3	Next Day	24.00%	$271.00 	$149 	4	4	$9.50 	
Home	Germany	8233	5/28/2023 0:00	ORDER00957	Bank Transfer	617	Yes	2	Standard	36.00%	$442.60 	$479 	9	1	$44.40 	
Clothing	France	5786	10/2/2023 0:00	ORDER00958	Cash	226	No	2	Next Day	25.00%	$29.70 	$26 	7	5	$11.30 	
Clothing	France	1492	9/18/2023 0:00	ORDER00959	Bank Transfer	422	No	1	Standard	18.00%	$489.60 	$117 	2	1	$7.20 	
Clothing	France	3706	11/24/2023 0:00	ORDER00960	Bank Transfer	168	No	2	Next Day	17.00%	$926.90 	"$1,457 "	7	5	$24.70 	
Books	Canada	5791	4/23/2023 0:00	ORDER00961	Bank Transfer	929	Yes	1	Express	17.00%	$110.60 	$122 	6	2	$4.90 	
Sports	USA	4070	1/16/2023 0:00	ORDER00962	Credit Card	379	No	4	Standard	16.00%	$227.90 	$47 	1	2	$12.20 	
Electronics	Germany	9520	9/27/2023 0:00	ORDER00963	PayPal	290	No	5	Next Day	28.00%	$766.00 	$192 	3	0	$42.70 	
Sports	Germany	8500	9/2/2023 0:00	ORDER00964	Bank Transfer	923	No	3	Next Day	35.00%	$161.60 	$178 	6	2	$20.80 	
Electronics	France	4199	7/17/2023 0:00	ORDER00965	PayPal	100	Yes	4	Standard	24.00%	$781.50 	$685 	10	5	$47.80 	
Books	USA	3186	7/8/2023 0:00	ORDER00966	Credit Card	218	No	1	Standard	14.00%	$598.50 	$574 	6	1	$31.10 	
Clothing	USA	9810	8/19/2023 0:00	ORDER00967	PayPal	307	No	4	Next Day	17.00%	$667.10 	$814 	7	2	$16.40 	
Clothing	USA	3262	1/8/2023 0:00	ORDER00968	Bank Transfer	345	Yes	1	Express	23.00%	$534.40 	$230 	4	0	$10.30 	
Clothing	USA	1553	4/2/2023 0:00	ORDER00969	Cash	211	Yes	3	Next Day	35.00%	$630.90 	$219 	5	2	$36.10 	
Books	Canada	9579	9/20/2023 0:00	ORDER00970	PayPal	789	Yes	2	Standard	17.00%	$477.00 	$672 	9	4	$13.40 	
Electronics	UK	9568	3/23/2023 0:00	ORDER00971	Cash	735	Yes	3	Express	32.00%	$673.40 	$429 	8	1	$31.30 	
Books	USA	3924	10/26/2023 0:00	ORDER00972	Credit Card	669	Yes	1	Express	24.00%	$872.10 	$284 	3	0	$45.80 	
Electronics	Germany	7802	1/28/2023 0:00	ORDER00973	PayPal	585	No	2	Standard	21.00%	$115.60 	$32 	2	0	$12.40 	
Home	Germany	4065	6/24/2023 0:00	ORDER00974	Cash	275	No	4	Standard	6.00%	$195.70 	$263 	7	1	$22.70 	
Home	UK	7242	9/25/2023 0:00	ORDER00975	Credit Card	410	No	4	Standard	14.00%	$83.50 	$80 	8	3	$44.90 	
Home	UK	8637	3/15/2023 0:00	ORDER00976	PayPal	921	Yes	4	Express	30.00%	$581.00 	$421 	6	3	$26.00 	
Sports	Germany	7179	12/12/2023 0:00	ORDER00977	Credit Card	552	Yes	5	Express	36.00%	$966.30 	$696 	10	4	$26.40 	
Sports	UK	6724	3/2/2023 0:00	ORDER00978	PayPal	235	No	5	Next Day	11.00%	$778.20 	$168 	1	0	$47.00 	
Home	Germany	1241	11/23/2023 0:00	ORDER00979	PayPal	636	No	2	Standard	13.00%	$279.00 	$66 	1	5	$2.10 	
Home	Germany	4455	4/12/2023 0:00	ORDER00980	PayPal	285	No	5	Next Day	8.00%	$401.30 	$159 	3	1	$6.70 	
Clothing	Canada	1236	10/16/2023 0:00	ORDER00981	Cash	665	No	1	Express	21.00%	$358.90 	$315 	6	2	$10.00 	
Electronics	France	3654	11/28/2023 0:00	ORDER00982	PayPal	659	No	5	Next Day	20.00%	$131.70 	$31 	1	4	$25.50 	
Clothing	Canada	3881	8/10/2023 0:00	ORDER00983	Cash	708	No	1	Express	20.00%	$902.70 	$529 	6	1	$23.60 	
Sports	UK	3056	1/11/2023 0:00	ORDER00984	Credit Card	173	No	3	Standard	27.00%	$360.60 	$64 	2	1	$13.50 	
Clothing	France	3905	6/20/2023 0:00	ORDER00985	PayPal	724	Yes	4	Express	38.00%	$781.70 	"$1,339 "	10	4	$41.40 	
Clothing	UK	8823	3/15/2023 0:00	ORDER00986	Bank Transfer	302	Yes	2	Next Day	33.00%	$653.00 	$125 	2	0	$17.30 	
Clothing	UK	9627	9/6/2023 0:00	ORDER00987	Cash	823	No	5	Standard	9.00%	$539.90 	"$1,050 "	9	0	$20.90 	
Sports	USA	6348	9/13/2023 0:00	ORDER00988	Bank Transfer	1	No	3	Next Day	33.00%	$27.60 	$15 	5	2	$36.70 	
Home	UK	8106	2/23/2023 0:00	ORDER00989	Credit Card	139	Yes	2	Express	7.00%	$347.60 	$126 	2	5	$41.90 	
Clothing	UK	4272	8/27/2023 0:00	ORDER00990	Credit Card	708	No	1	Express	7.00%	$518.70 	"$1,149 "	10	5	$10.60 	
Books	USA	2733	10/9/2023 0:00	ORDER00991	Credit Card	903	No	2	Next Day	26.00%	$93.50 	$34 	2	5	$45.80 	
Home	France	6732	2/11/2023 0:00	ORDER00992	PayPal	732	Yes	3	Next Day	9.00%	$196.10 	$342 	7	3	$8.10 	
Home	Germany	6258	11/6/2023 0:00	ORDER00993	PayPal	868	Yes	3	Express	34.00%	$44.60 	$19 	5	4	$3.10 	
Books	UK	1185	2/20/2023 0:00	ORDER00994	Credit Card	442	No	2	Next Day	21.00%	$333.90 	$125 	4	1	$45.00 	
Home	USA	1232	9/28/2023 0:00	ORDER00995	Bank Transfer	967	No	3	Standard	26.00%	$563.10 	"$1,043 "	10	3	$42.00 	
Clothing	USA	5299	1/27/2023 0:00	ORDER00996	Credit Card	916	No	1	Express	19.00%	$750.40 	$324 	2	0	$49.50 	
Books	USA	1428	1/27/2023 0:00	ORDER00997	Credit Card	163	No	5	Express	38.00%	$576.50 	$709 	10	2	$35.30 	
Books	UK	8593	9/26/2023 0:00	ORDER00998	Cash	51	Yes	3	Standard	24.00%	$107.50 	$13 	1	3	$26.50 	
Electronics	Germany	2112	6/13/2023 0:00	ORDER00999	Credit Card	243	Yes	4	Express	5.00%	$353.10 	$82 	1	1	$48.30 	
Books	Canada	8113	7/14/2023 0:00	ORDER01000	Bank Transfer	871	Yes	5	Standard	6.00%	$846.00 	"$1,307 "	7	1	$28.40 	
Books	Canada	6234	2/26/2023 0:00	ORDER04642	Bank Transfer	262	No	1	Express	33.00%	$703.90 	$526 	8	0	$14.20 	
Books	Canada	7572	8/26/2023 0:00	ORDER09877	Bank Transfer	211	No	1	Express	8.00%	$402.30 	$190 	3	4	$7.90 	
Books	Canada	8235	5/14/2023 0:00	ORDER07663	Bank Transfer	67	No	1	Express	31.00%	$468.60 	$571 	6	4	$41.80 	
Books	Canada	8460	4/27/2023 0:00	ORDER03527	Bank Transfer	44	No	2	Express	39.00%	$850.30 	$898 	7	0	$48.80 	
Books	Canada	1068	9/13/2023 0:00	ORDER09090	Bank Transfer	426	No	3	Express	26.00%	$26.10 	$2 	1	1	$22.40 	
Books	Canada	6684	8/12/2023 0:00	ORDER05739	Bank Transfer	318	No	3	Express	21.00%	$394.10 	$411 	10	1	$16.30 	
Books	Canada	2233	3/13/2023 0:00	ORDER07208	Bank Transfer	477	No	3	Express	33.00%	$917.10 	"$1,022 "	6	3	$4.30 	
Books	Canada	3726	6/19/2023 0:00	ORDER05662	Bank Transfer	251	No	3	Express	9.00%	$446.60 	$314 	3	5	$11.40 	
Books	Canada	7116	2/2/2023 0:00	ORDER03633	Bank Transfer	922	No	3	Express	34.00%	$660.50 	$873 	7	5	$29.80 	
Books	Canada	5578	6/1/2023 0:00	ORDER04511	Bank Transfer	915	No	4	Express	18.00%	$332.10 	$453 	7	0	$45.10 	
Books	Canada	7656	5/22/2023 0:00	ORDER01362	Bank Transfer	626	No	4	Express	38.00%	$111.00 	$80 	7	0	$14.50 	
Books	Canada	2856	8/24/2023 0:00	ORDER06748	Bank Transfer	393	No	4	Express	12.00%	$304.80 	$760 	10	0	$33.90 	
Books	Canada	5119	3/4/2023 0:00	ORDER01690	Bank Transfer	34	No	4	Express	10.00%	$664.90 	"$1,523 "	10	1	$27.60 	
Books	Canada	1267	11/14/2023 0:00	ORDER01307	Bank Transfer	891	No	4	Express	28.00%	$212.80 	$329 	9	2	$3.00 	
Books	Canada	8941	3/27/2023 0:00	ORDER03251	Bank Transfer	160	No	4	Express	11.00%	$800.90 	"$1,171 "	9	4	$5.50 	
Books	Canada	5190	2/17/2023 0:00	ORDER06928	Bank Transfer	100	No	5	Express	39.00%	$859.00 	$364 	4	0	$18.60 	
Books	France	4290	1/13/2023 0:00	ORDER06431	Bank Transfer	791	No	1	Express	9.00%	$450.60 	$628 	6	1	$49.10 	
Books	France	2843	6/9/2023 0:00	ORDER08770	Bank Transfer	187	No	1	Express	5.00%	$216.90 	$127 	5	4	$41.40 	
Books	France	8991	3/19/2023 0:00	ORDER07552	Bank Transfer	275	No	1	Express	30.00%	$133.20 	$192 	8	4	$41.20 	
Books	France	3991	5/12/2023 0:00	ORDER03698	Bank Transfer	199	No	1	Express	12.00%	$509.40 	$889 	10	5	$34.20 	
Books	France	1522	12/1/2023 0:00	ORDER09013	Bank Transfer	347	No	2	Express	15.00%	$695.20 	$132 	1	1	$24.90 	
Books	France	6995	10/7/2023 0:00	ORDER05624	Bank Transfer	249	No	2	Express	32.00%	$433.30 	$278 	4	1	$6.70 	
Books	France	8221	10/26/2023 0:00	ORDER06156	Bank Transfer	34	No	2	Express	26.00%	$689.80 	$337 	6	5	$11.80 	
Books	France	9027	6/19/2023 0:00	ORDER08143	Bank Transfer	299	No	2	Express	31.00%	$622.20 	$632 	6	5	$10.10 	
Books	France	5257	8/13/2023 0:00	ORDER02059	Bank Transfer	90	No	3	Express	26.00%	$874.20 	$887 	6	4	$13.70 	
Books	France	7736	12/28/2023 0:00	ORDER03572	Bank Transfer	148	No	4	Express	39.00%	$15.60 	$3 	2	1	$45.70 	
Books	France	8258	10/17/2023 0:00	ORDER02589	Bank Transfer	493	No	4	Express	36.00%	$670.00 	$575 	9	2	$4.20 	
Books	France	2327	8/11/2023 0:00	ORDER02778	Bank Transfer	786	No	4	Express	39.00%	$127.20 	$73 	6	5	$33.80 	
Books	France	9547	2/3/2023 0:00	ORDER07991	Bank Transfer	327	No	5	Express	19.00%	$297.50 	$35 	1	1	$33.10 	
Books	Germany	8549	9/20/2023 0:00	ORDER08534	Bank Transfer	340	No	1	Express	31.00%	$156.50 	$30 	1	0	$27.40 	
Books	Germany	8443	5/5/2023 0:00	ORDER09773	Bank Transfer	667	No	1	Express	14.00%	$467.80 	$53 	1	3	$19.90 	
Books	Germany	4653	7/11/2023 0:00	ORDER01570	Bank Transfer	472	No	2	Express	24.00%	$537.40 	$386 	6	3	$30.50 	
Books	Germany	6130	1/19/2023 0:00	ORDER01038	Bank Transfer	390	No	2	Express	23.00%	$999.40 	$669 	4	5	$8.80 	
Books	Germany	3102	6/19/2023 0:00	ORDER03894	Bank Transfer	955	No	3	Express	20.00%	$601.20 	$685 	5	3	$22.90 	
Books	Germany	4013	10/24/2023 0:00	ORDER08965	Bank Transfer	264	No	3	Express	23.00%	$320.90 	$315 	6	4	$14.80 	
Books	Germany	5504	8/19/2023 0:00	ORDER01345	Bank Transfer	771	No	3	Express	32.00%	$545.20 	$359 	8	5	$30.90 	
Books	Germany	5227	2/8/2023 0:00	ORDER09622	Bank Transfer	706	No	4	Express	33.00%	$892.40 	$758 	6	1	$8.00 	
Books	Germany	6140	3/6/2023 0:00	ORDER06912	Bank Transfer	19	No	5	Express	10.00%	$180.60 	$287 	7	0	$27.70 	
Books	Germany	5678	7/12/2023 0:00	ORDER04711	Bank Transfer	816	No	5	Express	33.00%	$359.20 	$432 	10	1	$33.60 	
Books	UK	7067	5/3/2023 0:00	ORDER02457	Bank Transfer	595	No	1	Express	39.00%	$91.40 	$50 	8	0	$15.40 	
Books	UK	2527	7/17/2023 0:00	ORDER07285	Bank Transfer	594	No	1	Express	18.00%	$987.70 	$94 	1	3	$11.40 	
Books	UK	6270	9/11/2023 0:00	ORDER06196	Bank Transfer	86	No	1	Express	32.00%	$453.50 	$181 	3	5	$12.30 	
Books	UK	5358	10/14/2023 0:00	ORDER02378	Bank Transfer	377	No	2	Express	22.00%	$637.90 	"$1,120 "	8	1	$39.60 	
Books	UK	3938	12/19/2023 0:00	ORDER05369	Bank Transfer	38	No	2	Express	37.00%	$35.70 	$31 	5	2	$13.30 	
Books	UK	1315	10/22/2023 0:00	ORDER04803	Bank Transfer	955	No	2	Express	13.00%	$443.00 	$464 	9	2	$4.50 	
Books	UK	2953	4/4/2023 0:00	ORDER01932	Bank Transfer	473	No	2	Express	13.00%	$613.90 	$55 	1	4	$45.80 	
Books	UK	3102	1/24/2023 0:00	ORDER02847	Bank Transfer	887	No	2	Express	13.00%	$393.80 	$205 	5	4	$33.10 	
Books	UK	4248	11/11/2023 0:00	ORDER06533	Bank Transfer	156	No	3	Express	30.00%	$756.50 	$851 	9	1	$45.60 	
Books	UK	2825	12/6/2023 0:00	ORDER06956	Bank Transfer	221	No	3	Express	30.00%	$333.30 	$105 	2	2	$28.10 	
Books	UK	3865	4/22/2023 0:00	ORDER08735	Bank Transfer	94	No	3	Express	25.00%	$84.90 	$85 	9	2	$32.90 	
Books	UK	9468	6/2/2023 0:00	ORDER04388	Bank Transfer	363	No	3	Express	33.00%	$236.20 	$75 	2	4	$25.10 	
Books	UK	3526	3/17/2023 0:00	ORDER02047	Bank Transfer	94	No	4	Express	34.00%	$12.30 	$5 	2	1	$47.10 	
Books	UK	8904	7/12/2023 0:00	ORDER03896	Bank Transfer	433	No	4	Express	21.00%	$893.10 	"$1,092 "	8	4	$2.70 	
Books	UK	3260	9/10/2023 0:00	ORDER09451	Bank Transfer	866	No	4	Express	8.00%	$620.30 	$230 	2	5	$40.20 	
Books	UK	6033	4/1/2023 0:00	ORDER08882	Bank Transfer	237	No	4	Express	31.00%	$251.20 	$188 	6	5	$14.30 	
Books	UK	6152	8/2/2023 0:00	ORDER07676	Bank Transfer	315	No	5	Express	12.00%	$508.30 	$352 	7	0	$45.30 	
Books	UK	2176	5/4/2023 0:00	ORDER02376	Bank Transfer	90	No	5	Express	6.00%	$193.40 	$478 	10	3	$47.80 	
Books	UK	4141	7/20/2023 0:00	ORDER09994	Bank Transfer	546	No	5	Express	8.00%	$372.80 	$57 	1	4	$35.40 	
Books	UK	9807	9/8/2023 0:00	ORDER01410	Bank Transfer	374	No	5	Express	21.00%	$486.40 	$465 	7	4	$17.70 	
Books	UK	6776	3/23/2023 0:00	ORDER04105	Bank Transfer	693	No	5	Express	39.00%	$787.00 	$629 	10	4	$22.40 	
Books	USA	6098	3/17/2023 0:00	ORDER06483	Bank Transfer	261	No	1	Express	40.00%	$344.80 	$53 	1	0	$19.90 	
Books	USA	5612	1/25/2023 0:00	ORDER05633	Bank Transfer	231	No	1	Express	12.00%	$86.10 	$181 	8	0	$28.30 	
Books	USA	3249	7/10/2023 0:00	ORDER08256	Bank Transfer	713	No	1	Express	27.00%	$925.80 	$853 	10	0	$37.10 	
Books	USA	6468	3/8/2023 0:00	ORDER04165	Bank Transfer	772	No	1	Express	8.00%	$844.30 	$628 	7	4	$2.10 	
Books	USA	1885	6/9/2023 0:00	ORDER02579	Bank Transfer	167	No	2	Express	35.00%	$607.10 	$98 	1	0	$10.70 	
Books	USA	5043	3/1/2023 0:00	ORDER01058	Bank Transfer	214	No	2	Express	18.00%	$641.60 	$643 	5	0	$22.80 	
Books	USA	4052	8/7/2023 0:00	ORDER09836	Bank Transfer	864	No	2	Express	7.00%	$70.10 	$21 	2	1	$27.40 	
Books	USA	9984	2/16/2023 0:00	ORDER01684	Bank Transfer	61	No	2	Express	36.00%	$276.50 	$260 	6	1	$43.60 	
Books	USA	7723	11/6/2023 0:00	ORDER09325	Bank Transfer	778	No	2	Express	37.00%	$805.10 	$464 	8	1	$16.10 	
Books	USA	5715	6/19/2023 0:00	ORDER01529	Bank Transfer	237	No	2	Express	21.00%	$638.30 	$770 	9	5	$29.40 	
Books	USA	3933	5/16/2023 0:00	ORDER08196	Bank Transfer	578	No	3	Express	25.00%	$851.90 	$262 	2	0	$35.10 	
Books	USA	7176	5/6/2023 0:00	ORDER01898	Bank Transfer	510	No	3	Express	11.00%	$553.00 	$316 	4	2	$18.10 	
Books	USA	2157	12/12/2023 0:00	ORDER09425	Bank Transfer	185	No	3	Express	33.00%	$786.00 	$256 	2	3	$48.80 	
Books	USA	8182	12/23/2023 0:00	ORDER06861	Bank Transfer	213	No	3	Express	23.00%	$118.80 	$33 	2	4	$33.70 	
Books	USA	6135	11/15/2023 0:00	ORDER06406	Bank Transfer	658	No	3	Express	34.00%	$778.80 	$109 	1	5	$17.80 	
Books	USA	4449	8/25/2023 0:00	ORDER06414	Bank Transfer	836	No	4	Express	15.00%	$617.50 	$317 	3	0	$18.80 	
Books	USA	2498	4/25/2023 0:00	ORDER05150	Bank Transfer	29	No	4	Express	15.00%	$714.70 	"$1,235 "	10	0	$46.30 	
Books	USA	5954	4/3/2023 0:00	ORDER05172	Bank Transfer	125	No	4	Express	32.00%	$131.10 	$51 	3	2	$35.00 	
Books	USA	6324	11/22/2023 0:00	ORDER02725	Bank Transfer	504	No	4	Express	38.00%	$469.40 	$91 	3	2	$32.70 	
Books	USA	1702	1/6/2023 0:00	ORDER05406	Bank Transfer	674	No	4	Express	5.00%	$343.40 	$525 	6	4	$16.70 	
Books	USA	1917	2/21/2023 0:00	ORDER04928	Bank Transfer	406	No	5	Express	23.00%	$380.90 	$822 	10	4	$13.60 	
Books	USA	4086	8/19/2023 0:00	ORDER07954	Bank Transfer	364	No	5	Express	11.00%	$871.00 	$684 	4	5	$8.60 	
Clothing	Canada	5779	5/20/2023 0:00	ORDER01903	Bank Transfer	797	No	1	Express	28.00%	$116.20 	$94 	7	2	$3.70 	
Clothing	Canada	4341	2/10/2023 0:00	ORDER06338	Bank Transfer	181	No	1	Express	36.00%	$677.00 	$313 	3	4	$30.70 	
Clothing	Canada	8045	5/2/2023 0:00	ORDER06848	Bank Transfer	775	No	1	Express	34.00%	$69.10 	$64 	7	4	$24.00 	
Clothing	Canada	9810	10/8/2023 0:00	ORDER02831	Bank Transfer	158	No	2	Express	23.00%	$876.90 	"$1,441 "	10	1	$3.00 	
Clothing	Canada	4285	12/18/2023 0:00	ORDER03495	Bank Transfer	394	No	2	Express	15.00%	$271.60 	$394 	8	2	$42.60 	
Clothing	Canada	7169	8/28/2023 0:00	ORDER07037	Bank Transfer	848	No	2	Express	23.00%	$551.50 	$234 	2	3	$2.90 	
Clothing	Canada	2605	9/9/2023 0:00	ORDER06490	Bank Transfer	401	No	2	Express	23.00%	$645.60 	$446 	5	5	$7.90 	
Clothing	Canada	5503	11/18/2023 0:00	ORDER08897	Bank Transfer	68	No	2	Express	31.00%	$831.10 	$412 	5	5	$10.70 	
Clothing	Canada	3163	10/12/2023 0:00	ORDER09423	Bank Transfer	319	No	3	Express	31.00%	$172.60 	$66 	3	5	$43.20 	
Clothing	Canada	7404	6/15/2023 0:00	ORDER02352	Bank Transfer	47	No	4	Express	16.00%	$648.60 	$704 	9	1	$6.20 	
Clothing	Canada	9772	2/12/2023 0:00	ORDER04115	Bank Transfer	70	No	4	Express	31.00%	$709.50 	$61 	1	2	$28.10 	
Clothing	Canada	2562	1/13/2023 0:00	ORDER09247	Bank Transfer	41	No	4	Express	8.00%	$512.20 	$605 	8	3	$18.10 	
Clothing	Canada	6001	10/22/2023 0:00	ORDER06788	Bank Transfer	171	No	5	Express	20.00%	$20.20 	$11 	6	2	$28.80 	
Clothing	Canada	2115	5/16/2023 0:00	ORDER04572	Bank Transfer	648	No	5	Express	24.00%	$96.40 	$145 	7	2	$31.50 	
Clothing	France	4329	4/3/2023 0:00	ORDER02295	Bank Transfer	352	No	1	Express	35.00%	$362.00 	$343 	8	0	$6.40 	
Clothing	France	4190	4/1/2023 0:00	ORDER09232	Bank Transfer	192	No	1	Express	8.00%	$602.10 	$270 	4	2	$17.10 	
Clothing	France	5159	4/7/2023 0:00	ORDER03923	Bank Transfer	867	No	1	Express	22.00%	$405.80 	$437 	8	3	$29.80 	
Clothing	France	9429	4/19/2023 0:00	ORDER04356	Bank Transfer	744	No	1	Express	34.00%	$358.60 	$48 	1	4	$44.60 	
Clothing	France	4303	2/24/2023 0:00	ORDER01158	Bank Transfer	291	No	1	Express	36.00%	$136.40 	$71 	6	5	$30.70 	
Clothing	France	2836	10/24/2023 0:00	ORDER05738	Bank Transfer	845	No	2	Express	39.00%	$190.10 	$159 	5	3	$29.90 	
Clothing	France	6057	7/12/2023 0:00	ORDER03983	Bank Transfer	498	No	2	Express	27.00%	$737.30 	$311 	2	5	$14.30 	
Clothing	France	7600	6/3/2023 0:00	ORDER01113	Bank Transfer	881	No	2	Express	20.00%	$216.20 	$273 	9	5	$40.20 	
Clothing	France	8889	12/12/2023 0:00	ORDER09542	Bank Transfer	265	No	3	Express	19.00%	$361.10 	$193 	3	2	$26.50 	
Clothing	France	5151	2/11/2023 0:00	ORDER08286	Bank Transfer	830	No	3	Express	23.00%	$574.10 	$470 	6	3	$43.10 	
Clothing	France	6172	5/15/2023 0:00	ORDER08305	Bank Transfer	859	No	3	Express	16.00%	$301.90 	$284 	5	4	$43.20 	
Clothing	France	1999	12/18/2023 0:00	ORDER09504	Bank Transfer	319	No	3	Express	16.00%	$813.20 	$558 	5	5	$38.90 	
Clothing	France	2139	8/8/2023 0:00	ORDER03071	Bank Transfer	475	No	3	Express	24.00%	$538.40 	$307 	6	5	$41.10 	
Clothing	France	5815	1/16/2023 0:00	ORDER05724	Bank Transfer	517	No	4	Express	21.00%	$329.80 	$533 	10	0	$28.40 	
Clothing	France	8200	11/15/2023 0:00	ORDER04397	Bank Transfer	362	No	4	Express	24.00%	$832.90 	$510 	7	3	$7.60 	
Clothing	France	1269	5/3/2023 0:00	ORDER07167	Bank Transfer	122	No	4	Express	28.00%	$783.70 	$127 	1	4	$14.40 	
Clothing	France	5678	7/14/2023 0:00	ORDER07672	Bank Transfer	783	No	4	Express	26.00%	$854.40 	$186 	2	5	$10.10 	
Clothing	France	3840	6/5/2023 0:00	ORDER03160	Bank Transfer	329	No	5	Express	30.00%	$303.30 	$534 	10	0	$38.00 	
Clothing	France	4190	6/27/2023 0:00	ORDER01468	Bank Transfer	735	No	5	Express	9.00%	$609.30 	$283 	2	5	$12.30 	
Clothing	Germany	3514	10/18/2023 0:00	ORDER08383	Bank Transfer	919	No	1	Express	37.00%	$995.00 	$476 	7	0	$35.20 	
Clothing	Germany	6205	6/26/2023 0:00	ORDER03407	Bank Transfer	206	No	1	Express	13.00%	$43.70 	$61 	9	0	$29.00 	
Clothing	Germany	3283	8/3/2023 0:00	ORDER05510	Bank Transfer	108	No	1	Express	23.00%	$992.90 	$686 	3	1	$21.10 	
Clothing	Germany	6687	12/8/2023 0:00	ORDER09308	Bank Transfer	832	No	1	Express	17.00%	$583.70 	"$1,302 "	10	3	$30.30 	
Clothing	Germany	1715	6/9/2023 0:00	ORDER04349	Bank Transfer	319	No	1	Express	37.00%	$916.70 	$484 	3	4	$33.30 	
Clothing	Germany	2592	10/1/2023 0:00	ORDER01733	Bank Transfer	421	No	2	Express	35.00%	$992.10 	"$1,204 "	7	2	$26.30 	
Clothing	Germany	3830	10/23/2023 0:00	ORDER08008	Bank Transfer	381	No	2	Express	28.00%	$578.80 	"$1,021 "	9	2	$21.60 	
Clothing	Germany	5710	10/22/2023 0:00	ORDER02829	Bank Transfer	613	No	2	Express	25.00%	$91.00 	$93 	10	2	$16.00 	
Clothing	Germany	1240	3/2/2023 0:00	ORDER08743	Bank Transfer	408	No	2	Express	20.00%	$337.80 	$391 	7	4	$29.40 	
Clothing	Germany	9607	10/25/2023 0:00	ORDER05580	Bank Transfer	989	No	3	Express	33.00%	$642.90 	$98 	1	0	$46.20 	
Clothing	Germany	7004	1/4/2023 0:00	ORDER05320	Bank Transfer	433	No	3	Express	39.00%	$61.30 	$13 	2	4	$20.00 	
Clothing	Germany	2095	12/6/2023 0:00	ORDER07519	Bank Transfer	104	No	3	Express	6.00%	$475.30 	$588 	6	4	$9.70 	
Clothing	Germany	4026	7/15/2023 0:00	ORDER03484	Bank Transfer	457	No	4	Express	8.00%	$670.70 	"$1,329 "	8	1	$44.30 	
Clothing	Germany	4804	2/25/2023 0:00	ORDER06753	Bank Transfer	29	No	4	Express	22.00%	$69.70 	$127 	10	3	$47.50 	
Clothing	UK	9410	2/10/2023 0:00	ORDER03146	Bank Transfer	626	No	1	Express	18.00%	$59.30 	$52 	4	1	$34.70 	
Clothing	UK	2849	9/24/2023 0:00	ORDER05989	Bank Transfer	526	No	2	Express	17.00%	$77.70 	$30 	4	0	$37.80 	
Clothing	UK	3995	1/6/2023 0:00	ORDER03267	Bank Transfer	913	No	3	Express	9.00%	$660.20 	$143 	1	4	$13.10 	
Clothing	UK	9458	9/1/2023 0:00	ORDER05240	Bank Transfer	576	No	3	Express	27.00%	$921.50 	$401 	4	5	$42.10 	
Clothing	UK	7967	2/14/2023 0:00	ORDER07521	Bank Transfer	967	No	4	Express	9.00%	$26.90 	$49 	10	1	$13.90 	
Clothing	UK	7505	2/26/2023 0:00	ORDER03193	Bank Transfer	877	No	4	Express	40.00%	$289.80 	$371 	10	2	$23.90 	
Clothing	UK	6598	7/14/2023 0:00	ORDER04464	Bank Transfer	565	No	4	Express	39.00%	$587.30 	$150 	3	5	$27.00 	
Clothing	UK	5613	1/3/2023 0:00	ORDER02548	Bank Transfer	516	No	5	Express	15.00%	$984.30 	$752 	3	0	$37.20 	
Clothing	UK	3945	12/26/2023 0:00	ORDER08200	Bank Transfer	555	No	5	Express	38.00%	$825.40 	"$1,040 "	9	0	$4.30 	
